Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
simulink,1000,34,17.04230499267578,2841.65625,2376.93661971831
simulink,1000,35,17.81400418281555,2826.078125,2315.929215604027
simulink,1000,36,17.022214889526367,2865.765625,2260.010563380282
simulink,1000,37,15.382162094116211,2945.609375,2288.2252906976746
simulink,1000,38,17.29973030090332,2919.296875,2357.5461258561645
simulink,1000,39,17.446564197540283,2838.03125,2256.9133234797296
simulink,1000,40,16.704066038131714,2955.484375,2335.7321428571427
simulink,1000,41,16.380218029022217,3079.625,2388.993451286765
simulink,1000,42,14.313688039779663,2822.09375,2305.3874470338983
simulink,1000,43,15.420241355895996,3218.0,2400.29296875
simulink,1000,44,16.446644067764282,2874.0625,2281.95256294964
simulink,1000,45,15.386311769485474,3089.046875,2388.50341796875
simulink,1000,46,16.597481966018677,2946.765625,2356.380845323741
simulink,1000,47,18.43526291847229,2776.15625,2270.972631369427
simulink,1000,48,16.87693214416504,2866.109375,2277.1419642857145
simulink,1000,49,17.020627975463867,2806.765625,2285.8760926573427
simulink,1000,50,17.036302089691162,2754.4375,2197.2276475694443
simulink,1000,51,17.269947052001953,2818.078125,2224.6521045918366
simulink,1000,52,16.367361068725586,2846.578125,2301.411645683453
simulink,1000,53,16.7605619430542,2876.625,2332.6363336267605
simulink,1000,54,16.603569984436035,2824.859375,2257.7047991071427
simulink,1000,55,15.524630069732666,2896.875,2318.4328125
simulink,1000,56,16.06044101715088,3152.78125,2358.069328703704
simulink,1000,57,18.282898902893066,2860.5625,2248.222155448718
simulink,1000,58,19.105379104614258,2851.09375,2232.0974884969323
simulink,1000,59,15.040916919708252,2812.015625,2253.0755208333335
simulink,1000,60,16.981576919555664,2870.4375,2260.1960648148147
simulink,1000,61,17.583683729171753,2912.359375,2302.6657698675494
simulink,1000,62,17.01398491859436,2884.828125,2323.1961805555557
simulink,1000,63,16.06906485557556,2853.5625,2212.1126157407407
simulink,1000,64,17.454281091690063,2904.84375,2301.943162751678
simulink,1000,65,18.33391308784485,2915.484375,2345.760151273885
simulink,1000,66,15.65998888015747,3154.84375,2430.1635174418607
simulink,1000,67,15.692944288253784,2888.984375,2256.611505681818
simulink,1000,68,15.525995969772339,3181.796875,2377.988221153846
simulink,1000,69,15.85359001159668,3105.234375,2363.0714285714284
simulink,1000,70,15.669296741485596,3085.796875,2352.5236778846156
simulink,1000,71,15.79678225517273,2786.125,2265.904326923077
simulink,1000,72,16.476008892059326,2921.5,2312.859375
simulink,1000,73,16.990946054458618,2865.78125,2258.342438811189
simulink,1000,74,16.531018018722534,2922.21875,2325.279563848921
simulink,1000,75,16.3470458984375,2993.8125,2322.5295392335765
simulink,1000,76,17.83379578590393,2842.515625,2274.9595833333333
simulink,1000,77,15.635370016098022,3111.140625,2391.7404312015506
simulink,1000,78,15.097220182418823,3053.75,2403.140625
simulink,1000,79,16.873372793197632,3010.875,2355.332636443662
simulink,1000,80,18.238093614578247,2828.828125,2317.9466314935066
simulink,1000,81,16.961243152618408,2867.796875,2262.3964982269504
simulink,1000,82,15.999526739120483,3162.1875,2489.532659774436
simulink,1000,83,16.672368049621582,2742.625,2257.011662137681
simulink,1000,84,18.42610192298889,2778.921875,2296.627130681818
simulink,1000,85,17.78766369819641,2869.25,2245.30474137931
simulink,1000,86,15.844777822494507,2885.296875,2243.672480620155
simulink,1000,87,15.540117979049683,2814.890625,2247.6431686046512
simulink,1000,88,15.503879070281982,2867.9375,2289.595432692308
simulink,1000,89,15.653745174407959,2872.8125,2279.3296875
simulink,1000,90,14.978961944580078,2827.65625,2182.389375
simulink,1000,91,17.85611081123352,2886.15625,2322.9530222039475
simulink,1000,92,17.062536239624023,2779.015625,2166.7722098214285
simulink,1000,93,16.746306896209717,2909.09375,2292.7356026785715
simulink,1000,94,16.72194504737854,2833.625,2294.7751798561153
simulink,1000,95,17.49197793006897,2817.796875,2289.1377354452056
simulink,1000,96,15.618675947189331,2826.6875,2270.5108173076924
simulink,1000,97,16.17378306388855,3066.03125,2429.934027777778
simulink,1000,98,16.92324185371399,3090.953125,2424.002860915493
simulink,1000,99,16.30792498588562,2823.359375,2252.0978860294117
simulink,1000,100,16.137953996658325,2984.984375,2319.5216435185184
