Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
pyblksim,2385,40,3.2817940711975098,748.734375,700.79375
pyblksim,2385,41,3.268537998199463,752.90625,705.0875
pyblksim,2385,42,3.284487009048462,760.203125,712.146875
pyblksim,2385,43,3.2732629776000977,764.546875,716.66875
pyblksim,2385,44,3.353184223175049,769.28125,729.4895833333334
pyblksim,2385,45,3.4326870441436768,775.5,727.315625
pyblksim,2385,46,3.4417872428894043,781.578125,733.559375
pyblksim,2385,47,3.435445547103882,786.53125,738.59375
pyblksim,2385,48,3.2853708267211914,790.234375,742.621875
pyblksim,2385,49,3.2829980850219727,797.25,749.1375
pyblksim,2385,50,3.282993793487549,802.03125,754.025
pyblksim,2385,51,3.2730889320373535,808.09375,760.109375
pyblksim,2385,52,3.297637939453125,811.75,772.0703125
pyblksim,2385,53,3.2761008739471436,819.609375,779.484375
pyblksim,2385,54,3.2938449382781982,823.921875,775.934375
pyblksim,2385,55,3.2681801319122314,830.234375,782.10625
pyblksim,2385,56,3.2828800678253174,834.390625,794.4739583333334
pyblksim,2385,57,3.284069061279297,840.0625,792.08125
pyblksim,2385,58,3.2738471031188965,845.734375,805.6953125
pyblksim,2385,59,3.270740032196045,850.0,802.153125
pyblksim,2385,60,3.276196002960205,854.25,806.571875
pyblksim,2385,61,3.284264087677002,860.0,812.221875
pyblksim,2385,62,3.294311285018921,867.4375,819.3125
pyblksim,2385,63,3.2933919429779053,871.25,823.240625
pyblksim,2385,64,3.285245895385742,876.828125,828.75
pyblksim,2385,65,3.2879579067230225,882.75,834.6875
pyblksim,2385,66,3.288102865219116,886.953125,839.115625
pyblksim,2385,67,3.2833287715911865,893.328125,845.353125
pyblksim,2385,68,3.2727949619293213,897.234375,857.4296875
pyblksim,2385,69,3.3006961345672607,903.5625,863.6015625
pyblksim,2385,70,3.284656047821045,908.703125,860.746875
pyblksim,2385,71,3.289151191711426,913.1875,865.48125
pyblksim,2385,72,3.285181999206543,919.171875,871.325
pyblksim,2385,73,3.2817800045013428,924.484375,876.628125
pyblksim,2385,74,3.287832021713257,929.109375,881.396875
pyblksim,2385,75,3.2817981243133545,934.859375,887.025
pyblksim,2385,76,3.287489891052246,941.390625,901.3463541666666
pyblksim,2385,77,3.297136068344116,944.75,897.090625
pyblksim,2385,78,3.2763662338256836,951.53125,911.5677083333334
pyblksim,2385,79,3.2895660400390625,957.78125,909.6
pyblksim,2385,80,3.2832648754119873,960.8125,913.078125
pyblksim,2385,81,3.2776150703430176,966.78125,918.74375
pyblksim,2385,82,3.285520076751709,972.890625,924.909375
pyblksim,2385,83,3.2962570190429688,978.84375,930.7625
pyblksim,2385,84,3.2907280921936035,982.28125,934.353125
pyblksim,2385,85,3.2784841060638428,988.609375,940.6625
pyblksim,2385,86,3.2862589359283447,995.75,955.6666666666666
pyblksim,2385,87,3.291062831878662,1000.171875,952.309375
pyblksim,2385,88,3.2937111854553223,1007.78125,959.36875
pyblksim,2385,89,3.274488925933838,1008.859375,969.4713541666666
pyblksim,2385,90,3.279163122177124,1018.3125,969.95
pyblksim,2385,91,3.2827110290527344,1024.984375,976.696875
pyblksim,2385,92,3.273940086364746,1029.359375,989.4973958333334
pyblksim,2385,93,3.3116979598999023,1035.40625,987.5375
pyblksim,2385,94,3.3036890029907227,1041.0625,993.14375
pyblksim,2385,95,3.2839508056640625,1047.515625,999.55625
pyblksim,2385,96,3.2831778526306152,1054.671875,1014.4973958333334
pyblksim,2385,97,3.305497169494629,1058.5,1018.6276041666666
pyblksim,2385,98,3.3024981021881104,1065.53125,1025.3854166666667
pyblksim,2385,99,3.2906148433685303,1070.234375,1030.4010416666667
pyblksim,2385,100,3.292569160461426,1076.15625,1036.2786458333333
pyblksim,5689,1,3.427781105041504,1091.59375,1064.70625
pyblksim,5689,2,3.4130921363830566,1107.125,1080.153125
pyblksim,5689,3,3.3863561153411865,1120.984375,1094.06875
pyblksim,5689,4,3.397221326828003,1134.328125,1104.421875
pyblksim,5689,5,3.3940820693969727,1149.65625,1122.746875
pyblksim,5689,6,3.405794143676758,1163.328125,1136.4390625
pyblksim,5689,7,3.4005372524261475,1177.5,1150.5984375
pyblksim,5689,8,3.412102699279785,1190.734375,1163.8
pyblksim,5689,9,3.405890941619873,1204.671875,1178.0671875
pyblksim,5689,10,3.413931131362915,1219.9375,1193.2125
pyblksim,5689,11,3.3985416889190674,1235.96875,1208.6296875
pyblksim,5689,12,3.4010539054870605,1248.421875,1221.6671875
pyblksim,5689,13,3.403416156768799,1262.90625,1235.9890625
pyblksim,5689,14,3.4095921516418457,1277.703125,1250.7328125
pyblksim,5689,15,3.3980700969696045,1292.03125,1265.2109375
pyblksim,5689,16,3.4064748287200928,1304.796875,1277.9515625
pyblksim,5689,17,3.4062697887420654,1318.78125,1292.0984375
pyblksim,5689,18,3.397111654281616,1333.671875,1306.70625
pyblksim,5689,19,3.405139923095703,1348.421875,1321.41875
pyblksim,5689,20,3.4083092212677,1362.265625,1335.44375
pyblksim,5689,21,3.389672040939331,1377.296875,1350.3859375
pyblksim,5689,22,3.4033870697021484,1391.09375,1364.2109375
pyblksim,5689,23,3.3992860317230225,1404.984375,1378.16875
pyblksim,5689,24,3.4145758152008057,1418.21875,1391.4734375
pyblksim,5689,25,3.39394211769104,1432.15625,1405.471875
pyblksim,5689,26,3.3952059745788574,1447.140625,1420.35
pyblksim,5689,27,3.406317710876465,1433.375,1406.428125
pyblksim,5689,28,3.398439884185791,1448.125,1417.9166666666667
pyblksim,5689,29,3.3924479484558105,1461.609375,1431.5989583333333
pyblksim,5689,30,3.403656005859375,1474.921875,1448.04375
pyblksim,5689,31,3.4071528911590576,1486.96875,1460.303125
pyblksim,5689,32,3.3895320892333984,1501.5,1474.803125
pyblksim,5689,33,3.4256479740142822,1464.71875,1437.784375
pyblksim,5689,34,3.403032064437866,1478.734375,1451.9796875
pyblksim,5689,35,3.809419870376587,1516.453125,1198.9130067567567
pyblksim,5689,36,3.4072790145874023,735.390625,712.2203125
pyblksim,5689,37,3.411299705505371,737.953125,714.6609375
pyblksim,5689,38,3.4047369956970215,738.125,714.771875
pyblksim,5689,39,3.3932981491088867,736.640625,713.4734375
pyblksim,5689,40,3.4034109115600586,737.859375,714.575
pyblksim,5689,41,3.3932061195373535,736.203125,710.5225694444445
pyblksim,5689,42,3.3919219970703125,737.390625,714.159375
pyblksim,5689,43,3.3890271186828613,736.140625,713.0625
pyblksim,5689,44,3.4036881923675537,737.578125,714.31875
pyblksim,5689,45,3.393537998199463,738.234375,714.94375
pyblksim,5689,46,3.397624969482422,736.296875,710.6440972222222
pyblksim,5689,47,3.392486810684204,739.4375,716.0
pyblksim,5689,48,3.3944990634918213,749.90625,723.609375
pyblksim,5689,49,3.4093313217163086,761.9375,735.646875
pyblksim,5689,50,3.3950788974761963,774.328125,747.996875
pyblksim,5689,51,3.3982996940612793,786.453125,760.2109375
pyblksim,5689,52,3.396561861038208,799.25,769.9947916666666
pyblksim,5689,53,3.384787082672119,812.203125,785.81875
pyblksim,5689,54,3.404005765914917,823.359375,797.125
pyblksim,5689,55,3.402522087097168,835.5625,809.3515625
pyblksim,5689,56,3.405827045440674,847.640625,821.4
pyblksim,5689,57,3.3853211402893066,858.59375,832.55
pyblksim,5689,58,3.3948259353637695,873.375,847.034375
pyblksim,5689,59,3.4011430740356445,884.640625,858.425
pyblksim,5689,60,3.397033929824829,896.953125,870.68125
pyblksim,5689,61,3.3786091804504395,910.859375,884.48125
pyblksim,5689,62,3.3918378353118896,921.46875,892.3298611111111
pyblksim,5689,63,3.390989065170288,935.421875,906.1180555555555
pyblksim,5689,64,3.3998641967773438,945.265625,919.1578125
pyblksim,5689,65,3.3997249603271484,960.203125,933.8359375
pyblksim,5689,66,3.3919308185577393,969.984375,943.83125
pyblksim,5689,67,3.3928592205047607,984.03125,954.8454861111111
pyblksim,5689,68,3.3987481594085693,996.53125,970.2359375
pyblksim,5689,69,3.4032740592956543,1008.578125,982.3328125
pyblksim,5689,70,3.4111812114715576,1020.75,994.51875
pyblksim,5689,71,3.399346113204956,1033.40625,1007.140625
pyblksim,5689,72,3.3880019187927246,1046.625,1020.2546875
pyblksim,5689,73,3.403714895248413,1057.984375,1031.703125
pyblksim,5689,74,3.393807888031006,1070.109375,1043.83125
pyblksim,5689,75,3.3939390182495117,1082.140625,1055.9046875
pyblksim,5689,76,3.3919990062713623,1095.359375,1069.0015625
pyblksim,5689,77,3.383112907409668,1107.953125,1081.553125
pyblksim,5689,78,3.385073184967041,1119.234375,1092.9859375
pyblksim,5689,79,3.3937859535217285,1131.171875,1104.9328125
pyblksim,5689,80,3.4017860889434814,1144.859375,1118.5265625
pyblksim,5689,81,3.395473003387451,1156.109375,1129.875
pyblksim,5689,82,3.3926100730895996,1169.34375,1143.0734375
pyblksim,5689,83,3.4027583599090576,1180.953125,1154.6890625
pyblksim,5689,84,3.3960041999816895,1193.75,1167.459375
pyblksim,5689,85,3.3931050300598145,1207.265625,1180.865625
pyblksim,5689,86,3.3932690620422363,1218.171875,1189.1180555555557
pyblksim,5689,87,3.3892910480499268,1231.65625,1202.4270833333333
pyblksim,5689,88,3.396402359008789,1242.90625,1216.6796875
pyblksim,5689,89,3.3924238681793213,1256.484375,1230.1609375
pyblksim,5689,90,3.3820972442626953,1267.109375,1240.965625
pyblksim,5689,91,3.386029005050659,1279.625,1253.4375
pyblksim,5689,92,3.4113919734954834,1292.671875,1266.3984375
pyblksim,5689,93,3.3976857662200928,1304.796875,1278.5421875
pyblksim,5689,94,3.389909029006958,1316.984375,1290.7953125
pyblksim,5689,95,3.418600082397461,1329.4375,1303.2015625
pyblksim,5689,96,3.4016330242156982,1342.765625,1316.340625
pyblksim,5689,97,3.396761655807495,1354.25,1327.978125
pyblksim,5689,98,3.379302978515625,1367.5,1341.14375
pyblksim,5689,99,3.394915819168091,1379.75,1353.4484375
pyblksim,5689,100,3.3967859745025635,1392.265625,1365.5453125
pyblksim,13572,1,1.9052400588989258,1392.65625,1214.38125
pyblksim,13572,2,1.8831617832183838,1422.0,1367.9125
pyblksim,13572,3,1.8708369731903076,1437.78125,1383.378125
pyblksim,13572,4,1.8784959316253662,1455.734375,1399.65
pyblksim,13572,5,1.8702640533447266,1469.875,1415.521875
pyblksim,13572,6,1.8706681728363037,1484.390625,1430.009375
pyblksim,13572,7,1.8617548942565918,1501.84375,1445.8625
pyblksim,13572,8,1.8674428462982178,1515.703125,1461.646875
pyblksim,13572,9,1.871750831604004,1532.96875,1477.409375
pyblksim,13572,10,1.8751592636108398,1546.671875,1492.5875
pyblksim,13572,11,1.8730556964874268,1561.859375,1507.69375
pyblksim,13572,12,1.8758580684661865,1569.59375,1517.9125
pyblksim,13572,13,1.8754541873931885,1576.84375,1522.8
pyblksim,13572,14,1.875657081604004,1593.40625,1538.35
pyblksim,13572,15,1.8744251728057861,1611.53125,1555.865625
pyblksim,13572,16,1.868070125579834,1626.109375,1570.24375
pyblksim,13572,17,1.8726909160614014,1643.984375,1588.00625
pyblksim,13572,18,1.8616931438446045,1661.15625,1605.065625
pyblksim,13572,19,1.8732080459594727,1675.953125,1620.884375
pyblksim,13572,20,1.8848850727081299,1691.03125,1635.703125
pyblksim,13572,21,1.8758461475372314,1711.046875,1655.028125
pyblksim,13572,22,1.8628249168395996,1726.03125,1670.315625
pyblksim,13572,23,1.8698318004608154,1744.109375,1688.103125
pyblksim,13572,24,1.8936231136322021,1757.0,1701.746875
pyblksim,13572,25,1.88555908203125,1774.140625,1718.64375
pyblksim,13572,26,1.9292571544647217,1788.703125,1733.3625
pyblksim,13572,27,2.0245559215545654,1807.53125,1752.00625
pyblksim,13572,28,2.024432897567749,1824.546875,1768.5375
pyblksim,13572,29,2.2530088424682617,1840.453125,1784.146875
pyblksim,13572,30,2.027763843536377,1856.203125,1801.165625
pyblksim,13572,31,2.008492946624756,1874.515625,1818.146875
pyblksim,13572,32,1.9741456508636475,1891.421875,1835.753125
pyblksim,13572,33,1.9284749031066895,1906.421875,1850.8875
pyblksim,13572,34,1.9325551986694336,1923.40625,1867.7375
pyblksim,13572,35,1.923299789428711,1939.484375,1883.65
pyblksim,13572,36,2.6324617862701416,1947.0625,1494.6671875
pyblksim,13572,37,1.937026023864746,785.671875,739.525
pyblksim,13572,38,1.901850938796997,787.296875,740.559375
pyblksim,13572,39,1.9127459526062012,786.75,740.559375
pyblksim,13572,40,1.926671028137207,788.578125,741.575
pyblksim,13572,41,1.9188296794891357,788.296875,742.09375
pyblksim,13572,42,1.9209914207458496,786.171875,740.378125
pyblksim,13572,43,2.1500959396362305,789.515625,741.75625
pyblksim,13572,44,1.9218590259552002,792.734375,744.74375
pyblksim,13572,45,1.9046857357025146,795.5,747.68125
pyblksim,13572,46,1.9018340110778809,798.890625,749.515625
pyblksim,13572,47,1.9053759574890137,817.46875,761.85625
pyblksim,13572,48,1.9396498203277588,834.140625,778.540625
pyblksim,13572,49,1.9014990329742432,847.8125,794.05625
pyblksim,13572,50,1.9731037616729736,865.28125,809.6875
pyblksim,13572,51,2.0470080375671387,879.859375,825.85
pyblksim,13572,52,1.911696195602417,895.59375,840.23125
pyblksim,13572,53,1.9268591403961182,913.0,857.478125
pyblksim,13572,54,1.9037880897521973,927.84375,873.903125
pyblksim,13572,55,1.9043309688568115,945.03125,889.209375
pyblksim,13572,56,1.9195899963378906,959.171875,905.259375
pyblksim,13572,57,1.8990199565887451,975.5625,919.909375
pyblksim,13572,58,1.9672040939331055,993.03125,937.384375
pyblksim,13572,59,1.8654069900512695,1008.296875,952.903125
pyblksim,13572,60,1.903717041015625,1027.53125,971.640625
pyblksim,13572,61,2.0355660915374756,1040.96875,986.9625
pyblksim,13572,62,1.948720932006836,1055.375,1001.39375
pyblksim,13572,63,1.919571876525879,1070.046875,1016.03125
pyblksim,13572,64,1.9270048141479492,1083.28125,1029.55625
pyblksim,13572,65,1.9612929821014404,1099.03125,1044.990625
pyblksim,13572,66,1.9840161800384521,1114.375,1059.00625
pyblksim,13572,67,2.040661096572876,1130.203125,1076.25
pyblksim,13572,68,1.9114298820495605,1147.0625,1091.44375
pyblksim,13572,69,1.892613172531128,1162.796875,1107.353125
pyblksim,13572,70,1.9077410697937012,1180.25,1124.690625
pyblksim,13572,71,1.8774912357330322,1197.046875,1141.484375
pyblksim,13572,72,1.868546724319458,1213.953125,1158.35
pyblksim,13572,73,1.8709101676940918,1230.921875,1176.515625
pyblksim,13572,74,1.8627338409423828,1243.546875,1189.496875
pyblksim,13572,75,1.862250804901123,1261.21875,1205.303125
pyblksim,13572,76,1.8661680221557617,1277.890625,1221.95625
pyblksim,13572,77,1.8635551929473877,1294.296875,1238.4125
pyblksim,13572,78,1.872671127319336,1309.359375,1253.59375
pyblksim,13572,79,1.8634371757507324,1327.765625,1271.859375
pyblksim,13572,80,1.860055685043335,1341.703125,1287.58125
pyblksim,13572,81,1.868791103363037,1358.984375,1303.046875
pyblksim,13572,82,1.878814935684204,1375.828125,1319.753125
pyblksim,13572,83,1.8614530563354492,1391.09375,1336.678125
pyblksim,13572,84,1.8666119575500488,1404.75,1350.509375
pyblksim,13572,85,1.8632869720458984,1420.328125,1364.75625
pyblksim,13572,86,1.8657171726226807,1435.71875,1381.428125
pyblksim,13572,87,1.8705787658691406,1453.59375,1397.46875
pyblksim,13572,88,1.8682591915130615,1467.890625,1413.496875
pyblksim,13572,89,1.8644027709960938,1482.5,1428.196875
pyblksim,13572,90,1.8708021640777588,1498.78125,1443.046875
pyblksim,13572,91,1.8610610961914062,1515.625,1459.803125
pyblksim,13572,92,1.868931770324707,1529.875,1475.640625
pyblksim,13572,93,1.8695991039276123,1547.078125,1491.275
pyblksim,13572,94,1.8668038845062256,1562.96875,1508.43125
pyblksim,13572,95,1.8645358085632324,1577.09375,1521.41875
pyblksim,13572,96,1.8665580749511719,1595.40625,1539.615625
pyblksim,13572,97,1.8652920722961426,1610.359375,1554.8875
pyblksim,13572,98,1.8698880672454834,1627.15625,1571.6375
pyblksim,13572,99,1.8677270412445068,1645.28125,1589.45
pyblksim,13572,100,1.8670120239257812,1660.328125,1604.86875
pyblksim,32373,1,2.1979668140411377,1704.03125,1651.68359375
pyblksim,32373,2,2.2078118324279785,1746.59375,1694.978515625
pyblksim,32373,3,2.195530891418457,1786.6875,1735.513671875
pyblksim,32373,4,2.181999921798706,1826.0,1774.7265625
pyblksim,32373,5,2.1890981197357178,1863.15625,1815.142578125
pyblksim,32373,6,2.1827199459075928,1897.28125,1849.736328125
pyblksim,32373,7,2.188933849334717,1932.890625,1885.25
pyblksim,32373,8,2.1972460746765137,1969.8125,1919.701171875
pyblksim,32373,9,2.1969919204711914,2002.328125,1955.9765625
pyblksim,32373,10,2.1952319145202637,2039.296875,1990.6484375
pyblksim,32373,11,2.1948680877685547,2082.125,2030.4375
pyblksim,32373,12,2.2002530097961426,2124.8125,2071.966796875
pyblksim,32373,13,2.2078280448913574,2164.09375,2112.26953125
pyblksim,32373,14,2.206629991531372,2201.96875,2151.134765625
pyblksim,32373,15,2.2030200958251953,2232.421875,2186.703125
pyblksim,32373,16,2.20412015914917,2269.1875,2219.986328125
pyblksim,32373,17,2.203986167907715,2300.75,2256.28125
pyblksim,32373,18,2.199371099472046,2327.703125,2283.46875
pyblksim,32373,19,2.893064022064209,2325.515625,1452.595982142857
pyblksim,32373,20,2.194819688796997,883.640625,854.271484375
pyblksim,32373,21,2.196882963180542,884.40625,855.357421875
pyblksim,32373,22,2.1862049102783203,895.03125,858.26171875
pyblksim,32373,23,2.195657253265381,929.90625,882.349609375
pyblksim,32373,24,2.1867659091949463,964.765625,917.3515625
pyblksim,32373,25,2.1878631114959717,998.09375,950.830078125
pyblksim,32373,26,2.1904048919677734,1034.078125,986.328125
pyblksim,32373,27,2.1902358531951904,1068.765625,1021.234375
pyblksim,32373,28,2.189682960510254,1104.328125,1056.853515625
pyblksim,32373,29,2.1963350772857666,1138.875,1091.482421875
pyblksim,32373,30,2.1928138732910156,1172.96875,1125.681640625
pyblksim,32373,31,2.190317153930664,1209.5,1161.82421875
pyblksim,32373,32,2.1900601387023926,1243.3125,1196.060546875
pyblksim,32373,33,2.198840856552124,1278.921875,1231.5546875
pyblksim,32373,34,2.186978816986084,1314.8125,1267.46875
pyblksim,32373,35,2.1857049465179443,1350.109375,1302.814453125
pyblksim,32373,36,2.1843361854553223,1383.09375,1335.7890625
pyblksim,32373,37,2.194070816040039,1418.40625,1371.1015625
pyblksim,32373,38,2.2012648582458496,1453.390625,1405.779296875
pyblksim,32373,39,2.1875579357147217,1489.03125,1441.732421875
pyblksim,32373,40,2.1880290508270264,1521.140625,1474.1484375
pyblksim,32373,41,2.1867480278015137,1558.078125,1510.79296875
pyblksim,32373,42,2.1890408992767334,1592.71875,1544.9609375
pyblksim,32373,43,2.187072992324829,1626.90625,1579.689453125
pyblksim,32373,44,2.186913013458252,1661.796875,1614.36328125
pyblksim,32373,45,2.1894826889038086,1697.265625,1649.9375
pyblksim,32373,46,2.183846950531006,1731.9375,1684.697265625
pyblksim,32373,47,2.1928799152374268,1766.203125,1718.912109375
pyblksim,32373,48,2.187150239944458,1803.375,1755.740234375
pyblksim,32373,49,2.187965154647827,1836.96875,1789.642578125
pyblksim,32373,50,2.186569929122925,1871.109375,1823.822265625
pyblksim,32373,51,2.1936519145965576,1906.65625,1859.216796875
